# ###################################################
# INSTITUTO GEOFÍSICO -ESCUELA POLITÉCNICA NACIONAL #
#                                                   #
#                                                    
# IG-EPN Catálogo Sísmico Instrumental del Ecuador
# Copyright (C) Instituto Geofísico - Escuela Politécnica Nacional
# Quito - Ecuador
# https://www.igepn.edu.ec/
# Fecha de generación: 22-Jan-2026
# 
# 
# Estos datos corresponden a las magnitudes de los eventos sismicos
# Los eventos son los de magnitudes 3.5 o más y registrados en Ecuador
# 
# Explicacion de los campos incluidos:
#
# event:                  código del evento al cual están asociadas las magnitudes
# orig_id:                identificador del evento sísmico al cual se asocian las magnitudes
# magnitude_value:        valor de la magnitud calculada y promediada 
# magnitude_uncertainty:  incertidumbre en el calculo de la magnitud
# magnitude_type:         tipo de magnitud
# methodID:               método para el cálculo de las magnitudes
# stationCount:           número de estaciones con la que se calculó la magnitud
# agencyID:               fuente de generación de los datos
# 
#
#event,orig_id, magnitude_value, magnitude_uncertainty, magnitude_type, methodID, stationCount, agencyID
igepn2012ekdi,   3470,  3.8,  NaN,        M,     weighted average,   19,  IG-EPN
igepn2012eops,   3515,  3.7, 0.41,      MLv,                 mean,   18,  IG-EPN
igepn2012eops,   3515,  3.7,  NaN,        M,     weighted average,   18,  IG-EPN
igepn2012eqdu,   3524,  4.6, 0.33,      MLv,                 mean,   25,  IG-EPN
igepn2012eqdu,   3524,  4.6,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2012eqrp,   3525,  3.7, 0.45,      MLv,                 mean,   23,  IG-EPN
igepn2012eqrp,   3525,  3.7,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2012eqvd,   3527,  3.6, 0.75,      MLv,                 mean,   33,  IG-EPN
igepn2012eqvd,   3527,  3.6,  NaN,        M,     weighted average,   33,  IG-EPN
igepn2012esea,   3542,  3.8, 0.49,      MLv,                 mean,   27,  IG-EPN
igepn2012esea,   3542,  3.8,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012esvd,   3547,  4.2, 0.35,      MLv,                 mean,   23,  IG-EPN
igepn2012esvd,   3547,  4.2,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2012felz,   3630,  3.6, 0.61,      MLv,                 mean,   23,  IG-EPN
igepn2012felz,   3630,  3.6,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2012fkta,   3685,  4.3, 0.41,      MLv,                 mean,   19,  IG-EPN
igepn2012fkta,   3685,  4.3,  NaN,        M,     weighted average,   19,  IG-EPN
igepn2012frzl,   3772,  4.3, 0.37,      MLv,                 mean,   29,  IG-EPN
igepn2012frzl,   3772,  4.3,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012fxtq,   3830,  4.3, 0.23,      MLv,                 mean,   16,  IG-EPN
igepn2012fxtq,   3830,  4.3,  NaN,        M,     weighted average,   16,  IG-EPN
igepn2012gejq,   3892,  5.0, 0.27,      MLv,                 mean,   24,  IG-EPN
igepn2012gejq,   3892,  5.0,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2012gejw,   3893,  4.7, 0.32,      MLv,                 mean,   19,  IG-EPN
igepn2012gejw,   3893,  4.7,  NaN,        M,     weighted average,   19,  IG-EPN
igepn2012gfqe,   3899,  3.7, 0.34,      MLv,                 mean,   31,  IG-EPN
igepn2012gfqe,   3899,  3.7,  NaN,        M,     weighted average,   31,  IG-EPN
igepn2012ggpr,   3908,  4.4, 0.42,      MLv,                 mean,   33,  IG-EPN
igepn2012ggpr,   3908,  4.4,  NaN,        M,     weighted average,   33,  IG-EPN
igepn2012gjwq,   3934,  3.7, 0.40,      MLv,                 mean,   29,  IG-EPN
igepn2012gjwq,   3934,  3.7,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012gkxc,   3943,  4.6, 0.35,      MLv,                 mean,   24,  IG-EPN
igepn2012gkxc,   3943,  4.6,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2012gllv,   3951,  4.0, 0.70,      MLv,                 mean,   29,  IG-EPN
igepn2012gllv,   3951,  4.0,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012gpae,   4004,  4.0, 0.41,      MLv,                 mean,   27,  IG-EPN
igepn2012gpae,   4004,  4.0,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012gtlx,   4050,  3.7, 0.61,      MLv,                 mean,   27,  IG-EPN
igepn2012gtlx,   4050,  3.7,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012hhpa,   4188,  3.8, 0.40,      MLv,                 mean,   22,  IG-EPN
igepn2012hhpa,   4188,  3.8,  NaN,        M,     weighted average,   22,  IG-EPN
igepn2012hqsz,   4265,  3.5, 0.35,      MLv,                 mean,   26,  IG-EPN
igepn2012hqsz,   4265,  3.5,  NaN,        M,     weighted average,   26,  IG-EPN
igepn2012iczg,   4348,  4.0, 0.38,      MLv,                 mean,   21,  IG-EPN
igepn2012iczg,   4348,  4.0,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012ijmh,   4395,  4.9, 0.69,      MLv,                 mean,   25,  IG-EPN
igepn2012ijmh,   4395,  4.9,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2012ilfq,   4413,  4.2, 0.58,      MLv,                 mean,   25,  IG-EPN
igepn2012ilfq,   4413,  4.2,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2012imot,   4429,  4.6, 0.74,      MLv,                 mean,   18,  IG-EPN
igepn2012imot,   4429,  4.6,  NaN,        M,     weighted average,   18,  IG-EPN
igepn2012iqzo,   4488,  3.8, 0.29,      MLv,                 mean,   20,  IG-EPN
igepn2012iqzo,   4488,  3.8,  NaN,        M,     weighted average,   20,  IG-EPN
igepn2012itcq,   4512,  3.8, 0.36,      MLv,                 mean,   11,  IG-EPN
igepn2012itcq,   4512,  3.8,  NaN,        M,     weighted average,   11,  IG-EPN
igepn2012itil,   4516,  4.1, 0.34,      MLv,                 mean,    8,  IG-EPN
igepn2012itil,   4516,  4.1,  NaN,        M,     weighted average,    8,  IG-EPN
igepn2012iwhn,   4532,  3.6, 0.44,      MLv,                 mean,   12,  IG-EPN
igepn2012iwhn,   4532,  3.6,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2012jcab,   4582,  3.8, 0.33,      MLv,                 mean,   10,  IG-EPN
igepn2012jcab,   4582,  3.8,  NaN,        M,     weighted average,   10,  IG-EPN
igepn2012jhlj,   4617,  4.0, 0.36,      MLv,                 mean,   11,  IG-EPN
igepn2012jhlj,   4617,  4.0,  NaN,        M,     weighted average,   11,  IG-EPN
igepn2012jkco,   4645,  3.7, 0.39,      MLv,                 mean,   18,  IG-EPN
igepn2012jkco,   4645,  3.7,  NaN,        M,     weighted average,   18,  IG-EPN
igepn2012jplk,   4688,  4.1, 0.47,      MLv,                 mean,   13,  IG-EPN
igepn2012jplk,   4688,  4.1,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2012jwrj,   4747,  4.0, 0.42,      MLv,                 mean,    8,  IG-EPN
igepn2012jwrj,   4747,  4.0,  NaN,        M,     weighted average,    8,  IG-EPN
igepn2012jyqp,   4761,  4.6, 0.41,      MLv,                 mean,   26,  IG-EPN
igepn2012jyqp,   4761,  4.6,  NaN,        M,     weighted average,   26,  IG-EPN
igepn2012kcbn,   4787,  4.5, 0.39,      MLv,                 mean,   28,  IG-EPN
igepn2012kcbn,   4787,  4.5,  NaN,        M,     weighted average,   28,  IG-EPN
igepn2012kfrn,   4833,  3.9, 0.39,      MLv,                 mean,   28,  IG-EPN
igepn2012kfrn,   4833,  3.9,  NaN,        M,     weighted average,   28,  IG-EPN
igepn2012kjvr,   4869,  4.2, 0.43,      MLv,                 mean,   23,  IG-EPN
igepn2012kjvr,   4869,  4.2,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2012kwoo,   4949,  4.2, 0.43,      MLv,                 mean,   26,  IG-EPN
igepn2012kwoo,   4949,  4.2,  NaN,        M,     weighted average,   26,  IG-EPN
igepn2012kzte,   4988,  3.8, 0.38,      MLv,                 mean,   16,  IG-EPN
igepn2012kzte,   4988,  3.8,  NaN,        M,     weighted average,   16,  IG-EPN
igepn2012levl,   5032,  4.9, 0.18,       mb,         trimmed mean,   12,  IG-EPN
igepn2012levl,   5032,  5.4, 0.18,       mB,         trimmed mean,    4,  IG-EPN
igepn2012levl,   5032,  4.8, 0.40,   Mw(mB),                     ,    4,  IG-EPN
igepn2012levl,   5032,  5.4, 0.33,      MLv,                 mean,   30,  IG-EPN
igepn2012levl,   5032,  5.2,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2012lewm,   5033,  3.8, 0.38,      MLv,                 mean,   12,  IG-EPN
igepn2012lewm,   5033,  3.8,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2012lgbh,   5042,  4.5, 0.37,      MLv,                 mean,   32,  IG-EPN
igepn2012lgbh,   5042,  4.5,  NaN,        M,     weighted average,   32,  IG-EPN
igepn2012ljki,   5080,  3.6, 0.55,      MLv,                 mean,   21,  IG-EPN
igepn2012ljki,   5080,  3.6,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012llra,   5098,  3.7, 0.39,      MLv,                 mean,   22,  IG-EPN
igepn2012llra,   5098,  3.7,  NaN,        M,     weighted average,   22,  IG-EPN
igepn2012lmvu,   5108,  4.0, 0.32,      MLv,                 mean,   18,  IG-EPN
igepn2012lmvu,   5108,  4.0,  NaN,        M,     weighted average,   18,  IG-EPN
igepn2012looj,   5114,  4.2, 0.41,      MLv,                 mean,   27,  IG-EPN
igepn2012looj,   5114,  4.2,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012lrsn,   5136,  3.8, 0.34,      MLv,                 mean,   15,  IG-EPN
igepn2012lrsn,   5136,  3.8,  NaN,        M,     weighted average,   15,  IG-EPN
igepn2012lsmr,   5141,  4.3, 0.40,      MLv,                 mean,   16,  IG-EPN
igepn2012lsmr,   5141,  4.3,  NaN,        M,     weighted average,   16,  IG-EPN
igepn2012ltdr,   5154,  5.4, 0.59,      MLv,                 mean,   38,  IG-EPN
igepn2012ltdr,   5154,  5.4,  NaN,        M,     weighted average,   38,  IG-EPN
igepn2012luru,   5160,  4.7, 0.27,      MLv,                 mean,   20,  IG-EPN
igepn2012luru,   5160,  4.7,  NaN,        M,     weighted average,   20,  IG-EPN
igepn2012luxc,   5164,  3.8, 0.18,      MLv,         trimmed mean,   15,  IG-EPN
igepn2012luxc,   5164,  3.8,  NaN,        M,     weighted average,   15,  IG-EPN
igepn2012lxux,   5188,  5.1, 0.43,      MLv,                 mean,   24,  IG-EPN
igepn2012lxux,   5188,  5.1,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2012lyef,   5189,  4.2, 0.75,      MLv,                 mean,   21,  IG-EPN
igepn2012lyef,   5189,  4.2,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012mddp,   5238,  4.2, 0.48,      MLv,                 mean,   27,  IG-EPN
igepn2012mddp,   5238,  4.2,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012mdkr,   5239,  3.8, 0.28,      MLv,                 mean,   12,  IG-EPN
igepn2012mdkr,   5239,  3.8,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2012mekn,   5249,  3.6, 0.66,      MLv,                 mean,   35,  IG-EPN
igepn2012mekn,   5249,  3.6,  NaN,        M,     weighted average,   35,  IG-EPN
igepn2012mjeb,   5273,  4.1, 0.43,      MLv,                 mean,   14,  IG-EPN
igepn2012mjeb,   5273,  4.1,  NaN,        M,     weighted average,   14,  IG-EPN
igepn2012arvk,   2715,  5.0, 0.38,      MLv,     trimmed mean(25),   25,  IG-EPN
igepn2012arvk,   2715,  5.2, 0.14,       mB,     trimmed mean(25),    7,  IG-EPN
igepn2012arvk,   2715,  4.6, 0.40,   Mw(mB),                     ,    7,  IG-EPN
